id,title,city,property,area(m²),rooms,price(TND),longitude,latitude,link
1,Projet R2 de haut standing à Chotrana I,Chotrana 1 à       La Soukra      ,Appartement,119,2,480 000,10.221983481427277,36.88376786563885,https://www.mubawab.tn/fr/a/7698270/projet-r2-de-haut-standing-%C3%A0-chotrana-i
2,Triplex S4 de 300 m² à Chotrana La Soukra,La Soukra à       La Soukra      ,Appartement,304,4,800 000,10.250620654844226,36.880806329542665,https://www.mubawab.tn/fr/a/7835117/triplex-s4-de-300-m%C2%B2-%C3%A0-chotrana-la-soukra
3,S3 NEUF à Résidence Flower Gardens Manouba,La Manouba à       La Manouba      ,Appartement,167,3,451 200,10.102193127209993,36.80998967871172,https://www.mubawab.tn/fr/pa/7933727/s3-neuf-%C3%A0-r%C3%A9sidence-flower-gardens-manouba
4,Un Unique S3 à vendre à boumhel El Bassatine,Bou Mhel à       Boumhel Bassatine      ,Appartement,130,3,372 000,10.34246,36.577239999999996,https://www.mubawab.tn/fr/pa/7576745/un-unique-s3-%C3%A0-vendre-%C3%A0-boumhel-el-bassatine
5,Appartement S3 de très haut standing,Les Jardins de Carthage à       Le Kram      ,Appartement,117,2,641 000,10.300316253845239,36.849904452724225,https://www.mubawab.tn/fr/pa/7711800/appartement-s3-de-tr%C3%A8s-haut-standing
6,A vendre appartement sylvie hammamet nord,Hammamet      ,Appartement,100,2,341 250,10.61457,36.40108,https://www.mubawab.tn/fr/a/7402162/a-vendre-appartement-sylvie-hammamet-nord
7,Appartement de 113.4 m² avec jardin à La Marsa,La Marsa à       La Marsa      ,Appartement,113,2,600 000,10.325278,36.876389,https://www.mubawab.tn/fr/a/7883856/appartement-de-113-4-m%C2%B2-avec-jardin-%C3%A0-la-marsa
8,Appartement S2 de 107.5 m² à La Marsa,La Marsa à       La Marsa      ,Appartement,107,2,550 000,10.325278,36.876389,https://www.mubawab.tn/fr/a/7913877/appartement-s2-de-107-5-m%C2%B2-%C3%A0-la-marsa
9,Appartement s2 a saloum bouficha,Hammamet Sud à       Hammamet      ,Appartement,100,2,170 000,10.61457,36.40108,https://www.mubawab.tn/fr/a/7960075/appartement-s2-a-saloum-bouficha
10,A Vendre appartement S2 à la soukra,La Soukra à       La Soukra      ,Appartement,126,2,370 000,10.27417,36.88833,https://www.mubawab.tn/fr/a/7864531/a-vendre-appartement-s2-%C3%A0-la-soukra
11,Appartement haut standing a 500m de la mer,Hammamet à       Hammamet      ,Appartement,110,2,300 000,10.61457,36.40108,https://www.mubawab.tn/fr/a/7959971/appartement-haut-standing-a-500m-de-la-mer
12,A vendre S2 Neuf aux jardins de carthage,Les Jardins de Carthage à       Le Kram      ,Appartement,130,2,690 000,10.316667,36.833333,https://www.mubawab.tn/fr/a/7869926/a-vendre-s2-neuf-aux-jardins-de-carthage
13,S2 a VENDRE a La Soukra Parc,La Soukra à       La Soukra      ,Appartement,130,2,340 000,10.25,36.883333,https://www.mubawab.tn/fr/a/7915627/s2-a-vendre-a-la-soukra-parc
14,S3 de 162 m² à Chotrana 1,Chotrana 1 à       La Soukra      ,Appartement,163,3,495 000,10.222711761757422,36.883496242496435,https://www.mubawab.tn/fr/a/7794243/s3-de-162-m%C2%B2-%C3%A0-chotrana-1
15,S2 neufs à Chotrana I Soukra,Chotrana 1 à       La Soukra      ,Appartement,117,2,460 000,10.225477068074824,36.88205660943988,https://www.mubawab.tn/fr/a/7857436/s2-neufs-%C3%A0-chotrana-i-soukra
16,"Appartement de 104m², 2 Pièces, Chott Meriem",Chatt Meriem à       Sousse Ville      ,Appartement,104,2,390 000,10.540988279724075,35.95951545987685,https://www.mubawab.tn/fr/pa/7063254/appartement-de-104m%C2%B2-2-pi%C3%A8ces-chott-meriem
17,A vendre Un S2 à la nouvelle médina,Nouvelle Medina à       Nouvelle Medina      ,Appartement,197,2,346 000,10.18348,36.78898,https://www.mubawab.tn/fr/pa/7809378/a-vendre-un-s2-%C3%A0-la-nouvelle-m%C3%A9dina
18,Des appartements s3 neufs à chotrana 1,La Soukra à       La Soukra      ,Appartement,146,3,527 000,10.228796682901379,36.8808014979204,https://www.mubawab.tn/fr/a/7819205/des-appartements-s3-neufs-%C3%A0-chotrana-1
19,S2 Prestige avec Vue Mer à Sky House Mrezga,Cité El Wafa à       Nabeul      ,Appartement,118,2,443 333,10.73505,36.450559999999996,https://www.mubawab.tn/fr/pa/7463069/s2-prestige-avec-vue-mer-%C3%A0-sky-house-mrezga
20,A vendre S2 à Gammarth,Gammarth à       La Marsa      ,Appartement,113,2,680 000,10.325278,36.876389,https://www.mubawab.tn/fr/a/7944535/a-vendre-s2-%C3%A0-gammarth
21,A vendre des appartements s3 de haut standing a ka,Cité de la Plage à       Hammam Sousse      ,Appartement,180,3,540 000,10.5972,35.8569,https://www.mubawab.tn/fr/a/7948262/a-vendre-des-appartements-s3-de-haut-standing-a-ka
22,A vendre un appartement S2 vue mer à chott mariem,Chatt Meriem à       Sousse Ville      ,Appartement,100,2,480 000,10.6339,35.8273,https://www.mubawab.tn/fr/a/7855368/a-vendre-un-appartement-s2-vue-mer-%C3%A0-chott-mariem
