id,title,city,property,area(m²),price(TND),longitude,latitude,link
1,Vente terrain à Gammarth. Surface de 600 m²,Gammarth à       La Marsa      ,Terrain,600,570 000,10.288893,36.917739,https://www.mubawab.tn/fr/a/7665204/vente-terrain-%C3%A0-gammarth-surface-de-600-m%C2%B2
2,Terrain a vendre a 8 min de plage J. Hammamet,Hammamet Sud à       Hammamet      ,Terrain,260,15 600,10.61457,36.40108,https://www.mubawab.tn/fr/a/7957659/terrain-a-vendre-a-8-min-de-plage-j-hammamet
3,Terrain habitation ind. En vente,Ben Arous à       Ben Arous      ,Terrain,435,240 000,10.22122,36.77228,https://www.mubawab.tn/fr/a/7935034/terrain-habitation-ind-en-vente
4,Terrain à vendre à Chotrana 3,Chotrana 3 à       La Soukra      ,Terrain,1006,1 000 000,10.25,36.883333,https://www.mubawab.tn/fr/a/7903795/terrain-%C3%A0-vendre-%C3%A0-chotrana-3
5,Terrain constructible a la Soukra,La Soukra à       La Soukra      ,Terrain,400,420 000,10.25,36.883333,https://www.mubawab.tn/fr/a/7853380/terrain-constructible-a-la-soukra
6,Investissement de 4000m à haouaria,El Haouaria      ,Terrain,4000,75 000,11.016667,37.05,https://www.mubawab.tn/fr/a/7812372/investissement-de-4000m-%C3%A0-haouaria
7,Terrain à vendre,Kairouan Ville à       Kairouan Ville      ,Terrain,250,70 000,10.0924,35.6776,https://www.mubawab.tn/fr/a/7958442/terrain-%C3%A0-vendre
8,A vendre des Lots de terrain à Dar Alouche,Kélibia      ,Terrain,384,50 000,11.0918,36.8493,https://www.mubawab.tn/fr/a/7860505/a-vendre-des-lots-de-terrain-%C3%A0-dar-alouche
9,Terrain commerciale sur le route X,Les Jardins d'El Menzah 1 à       Ariana Ville      ,Terrain,400,520 000,10.19556,36.8625,https://www.mubawab.tn/fr/a/7959237/terrain-commerciale-sur-le-route-x
10,A Vendre Terrain de 1000m² à Bizerte,Utique      ,Terrain,1000,200 000,9.9465077,37.0075015,https://www.mubawab.tn/fr/a/7942891/a-vendre-terrain-de-1000m%C2%B2-%C3%A0-bizerte
11,À vendre terrain à bhar lazreg,Bhar Lazreg à       La Marsa      ,Terrain,125,90 000,10.325278,36.876389,https://www.mubawab.tn/fr/a/7458645/%C3%A0-vendre-terrain-%C3%A0-bhar-lazreg
12,"2 Lots A Vendre à Cap Zbib, Ras Jebel",Ras Jebel      ,Terrain,419,146 000,9.7506777,37.1303,https://www.mubawab.tn/fr/a/7956801/2-lots-a-vendre-%C3%A0-cap-zbib-ras-jebel
13,Terrain à quelques mètres de la mer à Chat Mami,Ras Jebel      ,Terrain,313,172 000,9.7506777,37.1303,https://www.mubawab.tn/fr/a/7882468/terrain-%C3%A0-quelques-m%C3%A8tres-de-la-mer-%C3%A0-chat-mami
14,Terrain khalifa,Hammamet Nord à       Hammamet      ,Terrain,200,200 000,10.661894,36.419773,https://www.mubawab.tn/fr/a/7952527/terrain-khalifa
15,Terrain AFH,Nabeul à       Nabeul      ,Terrain,511,740 950,10.73505,36.45056,https://www.mubawab.tn/fr/a/7957521/terrain-afh
16,Terrain à vendre,Kairouan Ville à       Kairouan Ville      ,Terrain,300,180 000,10.0924,35.6776,https://www.mubawab.tn/fr/a/7958504/terrain-%C3%A0-vendre
17,Terrain industriel 1500m² el fahs,El Fahs      ,Terrain,1500,525 000,9.54379,36.22305,https://www.mubawab.tn/fr/a/7949821/terrain-industriel-1500m%C2%B2-el-fahs
18,Terraina vendre a Hammamet sud,Hammamet Sud à       Hammamet      ,Terrain,300,54 000,10.61457,36.40108,https://www.mubawab.tn/fr/a/7958301/terraina-vendre-a-hammamet-sud
19,Terrain 300 m² à kelibia,Kélibia      ,Terrain,300,120 000,11.0918,36.8493,https://www.mubawab.tn/fr/a/7944000/terrain-300-m%C2%B2-%C3%A0-kelibia
20,Terrain d’habitation 600 m² à Ezzahra Kelibia,Hammam Ghezèze      ,Terrain,600,180 000,11.10203,36.91237,https://www.mubawab.tn/fr/a/7943998/terrain-d%E2%80%99habitation-600-m%C2%B2-%C3%A0-ezzahra-kelibia
21,Terrain agricole 7226 m² à Kelibia,Kélibia      ,Terrain,7226,295 000,11.0918,36.8493,https://www.mubawab.tn/fr/a/7577513/terrain-agricole-7226-m%C2%B2-%C3%A0-kelibia
22,Terrain d’habitation à 500 mètres de plage Kerkoue,Kélibia      ,Terrain,250,50 000,11.0918,36.8493,https://www.mubawab.tn/fr/a/7546017/terrain-d%E2%80%99habitation-%C3%A0-500-m%C3%A8tres-de-plage-kerkoue
23,Terrain a vendre,Hammamet Sud à       Hammamet      ,Terrain,400,60 000,10.61457,36.40108,https://www.mubawab.tn/fr/a/7955439/terrain-a-vendre
24,Terrain pour une promotion immobilière,Cité El Agba à       Monastir Ville      ,Terrain,421,990 000,10.827216,35.755394,https://www.mubawab.tn/fr/a/7390413/terrain-pour-une-promotion-immobili%C3%A8re
25,Terrain habitation collective en vente,Monastir Ville      ,Terrain,420,840 000,10.8225,35.7678,https://www.mubawab.tn/fr/a/7776934/terrain-habitation-collective-en-vente
